muestra,n,metodo_reordenamiento,fingerprint_original,fingerprint_permutacion,fingerprint_reordenada,alpha,beta,rho1_original,rho1_reordenada,max_abs_acf_original,max_abs_acf_reordenada,mae_abs_acf_original,mae_abs_acf_reordenada,brechas_original,brechas_reordenada,cola_original,cola_reordenada,dmax_brechas_original,dmax_brechas_reordenada,mae_brechas_original,mae_brechas_reordenada
logistico,1000,ranking de órbita logística auxiliar con estado sembrado,7b088ec20314081394523a732c4270c531dbf4219c521e146abf87ef59e51491,7b943a8a7e42078221d70da1718e07b74f30cd249c16f9734a8f8d3a27a85385,2f6d80dbc58fdf7a37f7f9d73872b9f276666cbd152bd31a0f5cde59f0754f24,0.2,0.5,0.006085944579968112,0.00023362178353356484,0.034689827348759465,0.07575467444082148,0.01656449371090781,0.028151085495757892,277,277,4,3,0.15620938628158848,0.033975548736462136,0.0363038313062035,0.014820657010191163
tienda,1000,ranking de órbita logística auxiliar fija,0726a1fb5a0e886bb09ea70fbd2595631d95c9c3592648a905ebdf49dc2223a3,cf8e468b55a3f0aae4b812f06f95e601aac008fe7f309ed78cd2fe418a089edb,3eaedb0440d473bee70f0a3bd186298266a1bdcdbd25836a167f52d008b45fed,0.7,0.9,0.05693251369515976,0.005273412034054315,0.07350964025313693,0.08370181378769162,0.027049168226856057,0.024409508639089344,211,211,0,3,0.19526066350710908,0.029762455632366902,0.023567333634868397,0.013807061439189002
r30_columnas,1000,ranking de órbita logística auxiliar fija,b81d0a7733d126c104bc778d8a6cc8efcfaab5098291dbc4e517f796744250bb,cf8e468b55a3f0aae4b812f06f95e601aac008fe7f309ed78cd2fe418a089edb,c57aa598712b27af5b8f496f7c1cedae88c5306dc62a814ef7975ba682d85510,0.1,0.3,0.2770450755577411,0.07088154898888889,0.2770450755577411,0.07088154898888889,0.03917237869899577,0.03063352869899539,189,189,2,8,0.07957671957671947,0.04355555555555546,0.023080020773517902,0.009709819886960186
r30_filas,1000,ranking de órbita logística auxiliar fija,989b081363d4eb6d6b4a2b3fc9630a03b5c380b3b36075dcb24e19824b16b4c4,cf8e468b55a3f0aae4b812f06f95e601aac008fe7f309ed78cd2fe418a089edb,21c0a9fb24555e1845844e571178d648baa966a1c12d980257659ab3ce78800b,0.7,1.0,0.23131712003959318,0.024692410245933646,0.23131712003959318,0.06785925590356996,0.03204057855805825,0.023409778485674597,299,299,1,2,0.23311036789297662,0.051872909698996605,0.04713686821828877,0.01383606985049061
