muestra,n,media,varianza,asimetria_fisher_pearson,curtosis_pearson,exceso_curtosis,m1,m2,m3,m4
uniforme_teorica,,0.5,0.08333333333333333,0.0,1.8,-1.2,0.5,0.3333333333333333,0.25,0.2
logistico,1000,0.5086549692351402,0.08023421117589218,-0.0512513948141783,1.8262268919225897,-1.1737731080774103,0.5086549692351402,0.33896408890349367,0.25287404552264764,0.2008815725386783
tienda,1000,0.5090938143559053,0.08031358696723413,-0.004490760741559162,1.7979336494082323,-1.2020663505917677,0.5090938143559053,0.33949009878267894,0.2545043976244491,0.20345385499703636
r30_columnas,1000,0.5046081208625287,0.08210524721660027,-0.009793479187689268,1.800576516196313,-1.199423483803687,0.5046081208625287,0.3367346028570126,0.25255055841642904,0.20194766276804443
r30_filas,1000,0.49765353240300475,0.08172287345661994,0.006174615573421928,1.763447848031017,-1.236552151968983,0.49765353240300475,0.3293819117698084,0.24540167837984045,0.19483601340356346
