muestra,n,fgm_t_min,fgm_t_max,fgm_num_puntos,fgm_maxima_diferencia_absoluta,fgm_mae,fc_t_min,fc_t_max,fc_num_puntos,fc_maxima_diferencia_absoluta,fc_mae,fingerprint_sha256
logistico,1000,0.0,15.0,40,9193.595865977608,706.8129862262238,0.0,20.0,60,0.05472611251451482,0.035232447508459996,7b088ec20314081394523a732c4270c531dbf4219c521e146abf87ef59e51491
tienda,1000,0.0,15.0,40,5185.616278830887,349.9346457698403,0.0,20.0,60,0.0413660751369957,0.024404651760382534,0726a1fb5a0e886bb09ea70fbd2595631d95c9c3592648a905ebdf49dc2223a3
r30_columnas,1000,0.0,15.0,40,2055.8056249743677,167.30277548546476,0.0,20.0,60,0.021648318231690004,0.00825407849310507,b81d0a7733d126c104bc778d8a6cc8efcfaab5098291dbc4e517f796744250bb
r30_filas,1000,0.0,15.0,40,20725.9937870212,1634.0674624091926,0.0,20.0,60,0.05121584881343912,0.02395105159070447,989b081363d4eb6d6b4a2b3fc9630a03b5c380b3b36075dcb24e19824b16b4c4
logistico_crudo_historico,1001,0.0,15.0,40,257750.70901367694,20320.72200364086,0.0,20.0,60,0.2927879599941683,0.14096439782638434,6732296d0ccb6cd10cfeb1dee3ef87615122da2639e310e785f8657b0203dc76
