muestra,n,cdf_dmax,cdf_mae,momentos_max_error_20,momentos_mae_20,fgm_dmax,fgm_mae,fc_dmax,fc_mae,acf_rho1,acf_max_abs,acf_mae_abs,fingerprint
logistico,1000,0.03380560750297035,0.01122677322677323,0.008654969235140197,0.0028935101636285055,9193.595865977608,706.8129862262238,0.05472611251451482,0.035232447508459996,0.006085944579968112,0.034689827348759465,0.01656449371090781,7b088ec20314081394523a732c4270c531dbf4219c521e146abf87ef59e51491
tienda,1000,0.02423771715221326,0.009955044955044961,0.009093814355905283,0.002421741249234913,5185.616278830887,349.9346457698403,0.0413660751369957,0.024404651760382534,0.05693251369515976,0.07350964025313693,0.027049168226856057,0726a1fb5a0e886bb09ea70fbd2595631d95c9c3592648a905ebdf49dc2223a3
r30_columnas,1000,0.01565313631811388,0.005195804195804202,0.0046081208625287085,0.0012386988886416022,2055.8056249743677,167.30277548546476,0.021648318231690004,0.00825407849310507,0.2770450755577411,0.2770450755577411,0.03917237869899577,b81d0a7733d126c104bc778d8a6cc8efcfaab5098291dbc4e517f796744250bb
r30_filas,1000,0.021123796120112504,0.006975024975024969,0.006683637843370727,0.00586930122712349,20725.9937870212,1634.0674624091926,0.05121584881343912,0.02395105159070447,0.23131712003959318,0.23131712003959318,0.03204057855805825,989b081363d4eb6d6b4a2b3fc9630a03b5c380b3b36075dcb24e19824b16b4c4
congruencial_minstd,1000,0.04167581689761757,0.012673326673326673,0.00916818776641426,0.005386586220816432,20448.898222623102,1568.6283121232484,0.06909275017550076,0.033056220659012064,0.045194835017643105,0.09030048892401955,0.02700144995426701,2ad4f3c5dee1991799ce98f134efa9a6ac7e8ab1ed57208ab8110c5e46f29131
